"","year","agency_code","ALL","AS7","BL7","EDS","ELS","FEM","HI7","MALE","MU7","SWD","WH7","AM7","NEDS","NSWD"
"1964",2021,"510367",244,NA,0.114754098360656,0.225409836065574,NA,0.55327868852459,0.278688524590164,0.44672131147541,NA,NA,0.557377049180328,NA,0.774590163934426,0.983606557377049
"1965",2021,"510368",760,NA,0.117105263157895,0.434210526315789,0.0526315789473684,0.486842105263158,0.330263157894737,0.513157894736842,0.0315789473684211,0.144736842105263,0.515789473684211,NA,0.565789473684211,0.855263157894737
"1966",2021,"510376",544,NA,0.0992647058823529,0.321691176470588,0.0386029411764706,0.479779411764706,0.145220588235294,0.520220588235294,0.0551470588235294,0.224264705882353,0.694852941176471,NA,0.678308823529412,0.775735294117647
"1967",2021,"510399",1291,0.0100697134004648,0.284275755228505,0.511231603408211,0.147172734314485,0.5143299767622,0.473276529821844,0.4856700232378,0.0340821068938807,0.158791634391944,0.197521301316809,NA,0.488768396591789,0.841208365608056
"1968",2021,"510402",1025,NA,0.131707317073171,0.425365853658537,0.0770731707317073,0.48390243902439,0.314146341463415,0.51609756097561,0.0468292682926829,0.208780487804878,0.504390243902439,NA,0.574634146341463,0.791219512195122
"1969",2021,"510406",1186,0.00843170320404722,0.109612141652614,0.262225969645868,0.0522765598650927,0.465430016863406,0.235244519392917,0.534569983136594,0.0446880269814503,0.18212478920742,0.599494097807757,NA,0.737774030354132,0.81787521079258
"1970",2021,"510LEA",10494,0.00914808461978273,0.172384219554031,0.30674671240709,0.0582237469029922,0.485515532685344,0.262149799885649,0.514484467314656,0.0420240137221269,0.154755098151325,0.510768057937869,0.00247760625119116,0.69325328759291,0.845244901848675
"1971",2021,"51A000",249,NA,0.168674698795181,0.0883534136546185,NA,0.457831325301205,0.0803212851405622,0.542168674698795,0.108433734939759,0.0843373493975904,0.630522088353414,NA,0.911646586345382,0.91566265060241
"1972",2021,"520344",268,NA,0.406716417910448,0.402985074626866,NA,0.503731343283582,0.0970149253731343,0.496268656716418,0.0671641791044776,0.16044776119403,0.42910447761194,NA,0.597014925373134,0.83955223880597
"1973",2021,"520LEA",268,NA,0.406716417910448,0.402985074626866,NA,0.503731343283582,0.0970149253731343,0.496268656716418,0.0671641791044776,0.16044776119403,0.42910447761194,NA,0.597014925373134,0.83955223880597
"1974",2021,"530306",32,NA,0.46875,0.65625,NA,NA,NA,0.78125,NA,NA,0.3125,NA,0.34375,0.71875
"1975",2021,"530335",196,NA,0.153061224489796,0.387755102040816,NA,0.602040816326531,0.428571428571429,0.397959183673469,0.076530612244898,NA,0.321428571428571,NA,0.612244897959184,0.989795918367347
"1976",2021,"530336",1343,NA,0.197319434102755,0.44825018615041,0.114668652271035,0.47728965003723,0.380491437081162,0.52271034996277,0.0461653015636634,0.0848845867460908,0.364110201042442,NA,0.55174981384959,0.915115413253909
"1977",2021,"530343",1147,NA,0.189189189189189,0.441150828247602,0.0645161290322581,0.463818657367044,0.380122057541412,0.536181342632956,0.041848299912816,0.0924149956408021,0.372275501307759,0.00871839581517001,0.558849171752398,0.907585004359198
"1978",2021,"530LEA",2724,0.00697503671071953,0.193465491923642,0.444566813509545,0.0870044052863436,0.477606461086637,0.383259911894273,0.522393538913363,0.0458883994126285,0.0870044052863436,0.363069016152717,0.0066079295154185,0.555433186490455,0.912995594713656
"1979",2021,"53B000",125,NA,0.136,0.08,NA,0.464,0.2,0.536,0.128,0.12,0.512,NA,0.92,0.88
"1980",2021,"540315",614,NA,0.907166123778502,0.653094462540717,NA,0.521172638436482,0.0228013029315961,0.478827361563518,0.0293159609120521,0.167752442996743,0.0276872964169381,NA,0.346905537459283,0.832247557003257
"1981",2021,"540317",180,NA,0.205555555555556,0.255555555555556,NA,0.672222222222222,0.255555555555556,0.327777777777778,NA,NA,0.483333333333333,NA,0.744444444444444,1
"1982",2021,"540318",65,NA,0.692307692307692,0.507692307692308,NA,0.369230769230769,NA,0.630769230769231,NA,0.384615384615385,0.246153846153846,NA,0.492307692307692,0.615384615384615
"1983",2021,"540324",864,NA,0.418981481481481,0.359953703703704,0.0405092592592593,0.491898148148148,0.16087962962963,0.508101851851852,0.03125,0.125,0.378472222222222,NA,0.640046296296296,0.875
"1984",2021,"540336",675,NA,0.143703703703704,0.354074074074074,0.0444444444444444,0.456296296296296,0.185185185185185,0.543703703703704,0.0355555555555556,0.205925925925926,0.62962962962963,NA,0.645925925925926,0.794074074074074
"1985",2021,"540LEA",2398,0.0100083402835696,0.457881567973311,0.42952460383653,0.0312760633861551,0.499582985821518,0.135946622185154,0.500417014178482,0.0316930775646372,0.156380316930776,0.363636363636364,NA,0.57047539616347,0.843619683069224
"1986",2021,"550308",14,NA,NA,0.714285714285714,NA,NA,NA,1,NA,NA,0.857142857142857,NA,NA,NA
"1987",2021,"550320",887,0.0180383314543405,0.0755355129650507,0.162344983089064,0.0191657271702368,0.472378804960541,0.0777903043968433,0.527621195039459,0.04847801578354,0.121758737316798,0.77564825253664,NA,0.837655016910936,0.878241262683202
"1988",2021,"550332",740,NA,0.167567567567568,0.472972972972973,0.0527027027027027,0.462162162162162,0.289189189189189,0.537837837837838,0.0364864864864865,0.159459459459459,0.504054054054054,NA,0.527027027027027,0.840540540540541
"1989",2021,"550344",907,NA,0.0319735391400221,0.137816979051819,NA,0.467475192943771,0.0871003307607497,0.532524807056229,0.0231532524807056,0.0727673649393605,0.850055126791621,NA,0.862183020948181,0.927232635060639
"1990",2021,"550368",692,NA,NA,0.372832369942197,0.0158959537572254,0.475433526011561,0.0852601156069364,0.524566473988439,0.0390173410404624,0.117052023121387,0.86849710982659,NA,0.627167630057804,0.882947976878613
"1991",2021,"550LEA",3240,0.00833333333333333,0.0691358024691358,0.273765432098765,0.0228395061728395,0.467283950617284,0.130246913580247,0.532716049382716,0.0364197530864198,0.117592592592593,0.75462962962963,NA,0.726234567901235,0.882407407407407
"1992",2021,"55A000",659,NA,0.0455235204855842,0.0622154779969651,NA,0.511380880121396,0.0834597875569044,0.488619119878604,0.0455235204855842,0.0424886191198786,0.81638846737481,NA,0.937784522003035,0.957511380880121
"1993",2021,"560320",859,NA,0.0116414435389988,0.350407450523865,0.0384167636786962,0.50058207217695,0.218859138533178,0.49941792782305,0.0325960419091967,0.0675203725261933,0.731082654249127,NA,0.649592549476135,0.932479627473807
